Timestamp in UTC;Energy in kWh
01.01.2022 00:00;41,5
01.01.2022 01:00;41,3
01.01.2022 02:00;36,8
01.01.2022 03:00;35,6
01.01.2022 04:00;37,0
01.01.2022 05:00;48,2
01.01.2022 06:00;57,2
01.01.2022 07:00;94,8
01.01.2022 08:00;72,3
01.01.2022 09:00;91,6
01.01.2022 10:00;118,3
01.01.2022 11:00;98,3
01.01.2022 12:00;79,6
01.01.2022 13:00;89,2
01.01.2022 14:00;72,4
01.01.2022 15:00;99,5
01.01.2022 16:00;70,6
01.01.2022 17:00;48,8
01.01.2022 18:00;49,3
01.01.2022 19:00;51,5
01.01.2022 20:00;49,1
01.01.2022 21:00;40,5
01.01.2022 22:00;47,9
01.01.2022 23:00;34,8
02.01.2022 00:00;37,9
02.01.2022 01:00;40,3
02.01.2022 02:00;40,2
02.01.2022 03:00;36,5
02.01.2022 04:00;33,2
02.01.2022 05:00;36,5
02.01.2022 06:00;57,0
02.01.2022 07:00;102,6
02.01.2022 08:00;112,0
02.01.2022 09:00;78,7
02.01.2022 10:00;111,7
02.01.2022 11:00;127,3
02.01.2022 12:00;94,6
02.01.2022 13:00;93,3
02.01.2022 14:00;99,3
02.01.2022 15:00;78,3
02.01.2022 16:00;65,1
02.01.2022 17:00;63,2
02.01.2022 18:00;53,0
02.01.2022 19:00;52,3
02.01.2022 20:00;44,2
02.01.2022 21:00;39,8
02.01.2022 22:00;47,6
02.01.2022 23:00;39,0
02.01.2022 00:00;36,6
03.01.2022 01:00;39,9
03.01.2022 02:00;37,2
03.01.2022 03:00;41,2
03.01.2022 04:00;40,3
03.01.2022 05:00;40,3
03.01.2022 06:00;48,6
03.01.2022 07:00;74,8
03.01.2022 08:00;89,1
03.01.2022 09:00;93,8
03.01.2022 10:00;92,6
03.01.2022 11:00;99,1
03.01.2022 12:00;80,3
03.01.2022 13:00;80,1
03.01.2022 14:00;85,7
03.01.2022 15:00;93,8
03.01.2022 16:00;59,6
03.01.2022 17:00;53,2
03.01.2022 18:00;47,5
03.01.2022 19:00;46,0
03.01.2022 20:00;47,3
03.01.2022 21:00;46,7
03.01.2022 22:00;44,7
03.01.2022 23:00;45,4
03.01.2022 00:00;42,0
04.01.2022 01:00;38,0
04.01.2022 02:00;39,5
04.01.2022 03:00;40,1
04.01.2022 04:00;36,8
04.01.2022 05:00;47,4
04.01.2022 06:00;53,0
04.01.2022 07:00;95,7
04.01.2022 08:00;77,1
04.01.2022 09:00;87,7
04.01.2022 10:00;87,7
04.01.2022 11:00;125,4
04.01.2022 12:00;82,6
04.01.2022 13:00;84,4
04.01.2022 14:00;78,9
04.01.2022 15:00;89,9
04.01.2022 16:00;53,8
04.01.2022 17:00;55,8
04.01.2022 18:00;60,4
04.01.2022 19:00;46,6
04.01.2022 20:00;46,5
04.01.2022 21:00;36,1
04.01.2022 22:00;38,2
04.01.2022 23:00;40,5
04.01.2022 00:00;41,1
05.01.2022 01:00;37,8
05.01.2022 02:00;44,0
05.01.2022 03:00;40,9
05.01.2022 04:00;41,7
05.01.2022 05:00;32,7
05.01.2022 06:00;57,6
05.01.2022 07:00;102,9
05.01.2022 08:00;94,6
05.01.2022 09:00;74,4
05.01.2022 10:00;90,4
05.01.2022 11:00;109,5
05.01.2022 12:00;70,2
05.01.2022 13:00;92,7
05.01.2022 14:00;74,4
05.01.2022 15:00;77,0
05.01.2022 16:00;66,7
05.01.2022 17:00;51,4
05.01.2022 18:00;63,0
05.01.2022 19:00;47,9
05.01.2022 20:00;48,3
05.01.2022 21:00;49,6
05.01.2022 22:00;40,9
05.01.2022 23:00;44,6
05.01.2022 00:00;42,7
06.01.2022 01:00;35,3
06.01.2022 02:00;33,3
06.01.2022 03:00;37,5
06.01.2022 04:00;40,4
06.01.2022 05:00;40,5
06.01.2022 06:00;60,0
06.01.2022 07:00;104,3
06.01.2022 08:00;85,1
06.01.2022 09:00;85,2
06.01.2022 10:00;83,2
06.01.2022 11:00;97,7
06.01.2022 12:00;79,7
06.01.2022 13:00;66,6
06.01.2022 14:00;64,9
06.01.2022 15:00;83,4
06.01.2022 16:00;60,4
06.01.2022 17:00;45,4
06.01.2022 18:00;46,6
06.01.2022 19:00;45,1
06.01.2022 20:00;45,6
06.01.2022 21:00;42,1
06.01.2022 22:00;39,4
06.01.2022 23:00;46,3
06.01.2022 00:00;44,4
07.01.2022 01:00;36,6
07.01.2022 02:00;39,7
07.01.2022 03:00;43,6
07.01.2022 04:00;35,6
07.01.2022 05:00;40,2
07.01.2022 06:00;60,2
07.01.2022 07:00;96,5
07.01.2022 08:00;87,5
07.01.2022 09:00;93,0
07.01.2022 10:00;118,0
07.01.2022 11:00;111,0
07.01.2022 12:00;80,6
07.01.2022 13:00;77,9
07.01.2022 14:00;76,0
07.01.2022 15:00;86,0
07.01.2022 16:00;48,2
07.01.2022 17:00;44,0
07.01.2022 18:00;59,1
07.01.2022 19:00;46,6
07.01.2022 20:00;36,8
07.01.2022 21:00;41,5
07.01.2022 22:00;41,6
07.01.2022 23:00;43,2
07.01.2022 00:00;42,8
